Name,MakamScaleId,Author,Year
Χαρικλάκι,RAST,Παναγιώτης Τούντας,1933
Ζεμπεκάνο Σπανιόλο,RAST,Γιώργος Μπάτης,1934
Μαρίκα χασικλού,RAST,Βαγγέλης Παπάζογλου,1934
Γκαμηλιέρικο,RAST,Γιώργος Μπάτης,1934
Αλεξανδριανή φελάχα,RAST,Ρόζα Εσκενάζυ|Δημήτρης Σέμσης,1934
Η Μαρίκα η δασκάλα,RAST,Παναγιώτης Τούντας,1936
Οι τρεις ορφανές,RAST,Γρηγόρης Ασίκης,1937
Μες του Βαβούλα τη γούβα,RAST,Στράτος Παγιουμτζής|Στέλιος Κερομύτης,1937
Στη Δραπετσώνα,RAST|NEVESER,Παναγιώτης Τούντας,1934
Γιαννάκης,RAST|NEVESER,Κώστας Σκαρβέλης,1936
Ώρες με θρέφει ο λουλάς,RAST_SAZKAR,Μάρκος Βαμβακάρης,1933
Στο Φάληρο που πλένεσαι,RAST_SAZKAR,Μάρκος Βαμβακάρης,1937
Καραβοτσακίσματα,RAST_SAZKAR|HUZAM,Μάρκος Βαμβακάρης,1936
Κατιφές,USAK,,1931
Βυρωνιώτισσα,USAK,Γρηγόρης Ασίκης,1935
Γυφτοπούλα στο χαμάμ,USAK,Γιώργος Μπάτης,1934
Αρμενίτσα,USAK,Κώστας Καρίπης,1934
Ο μυλωνάς,USAK,Δημήτρης Σέμσης|Σταύρος Παντελίδης,1934
Έτσι Μαρίκα δέχομαι,USAK,Γώργος Πετροπουλέας|Δημήτρης Σέμσης,1935
Ο Πίκινος,USAK,Κώστας Ρούκουνας,1934
Μην ορκίζεσαι βρε ψεύτρα,USAK,Γιώργος Πετροπουλέας|Δημήτρης Σέμσης,1936
Καθρέφτης θέλω να ΄μουνα,USAK,Κώστας Ρούκουνας,1936
Μεθυσμένος (Νεβά τσιφτετέλι),USAK|SABAH,Γιάννης Δράγατσης,1932
Σ' έναν τεκέ σκαρώσανε,USAK|SABAH,Δημήτρης Περδικόπουλος|Βασίλης Τσιτσάνης,1936
Ο ψύλλος,SEGAH,Σταύρος Παντελίδης,1932
Ο Νικοκλάκιας,SEGAH,Βαγγέλης Παπάζογλου,1934
Οι λαχανάδες,SEGAH,Βαγγέλης Παπάζογλου,1934
Σαν εγύριζα απ' την Πύλο,SEGAH,Βαγγέλης Παπάζογλου,1935
Ο φασούλας,SEGAH,Γιώργος Μπάτης,1936
Γεντί Κουλέ,SEGAH,Αιμίλιος Σαββίδης|Σώσος Ιωαννίδης,1934
